beach_id,collection_date,site_name,e_coli,date
2,2024-09-08,23W,NA,2024-09-08
2,2024-09-08,18W,70,2024-09-08
2,2024-09-08,17W,60,2024-09-08
2,2024-09-08,20W,130,2024-09-08
2,2024-09-08,21W,120,2024-09-08
2,2024-09-08,19W,50,2024-09-08
2,2024-09-08,22W,100,2024-09-08
2,2024-09-07,23W,NA,2024-09-07
2,2024-09-07,18W,NA,2024-09-07
2,2024-09-07,17W,50,2024-09-07
2,2024-09-07,20W,50,2024-09-07
2,2024-09-07,21W,70,2024-09-07
2,2024-09-07,19W,100,2024-09-07
2,2024-09-07,22W,40,2024-09-07
2,2024-09-06,23W,NA,2024-09-06
2,2024-09-06,18W,460,2024-09-06
2,2024-09-06,17W,530,2024-09-06
2,2024-09-06,20W,170,2024-09-06
2,2024-09-06,21W,610,2024-09-06
2,2024-09-06,19W,70,2024-09-06
2,2024-09-06,22W,190,2024-09-06
2,2024-09-05,23W,NA,2024-09-05
2,2024-09-05,18W,10,2024-09-05
2,2024-09-05,17W,10,2024-09-05
2,2024-09-05,20W,80,2024-09-05
2,2024-09-05,21W,210,2024-09-05
2,2024-09-05,19W,10,2024-09-05
2,2024-09-05,22W,10,2024-09-05
2,2024-09-04,23W,NA,2024-09-04
2,2024-09-04,18W,750,2024-09-04
2,2024-09-04,17W,700,2024-09-04
2,2024-09-04,20W,780,2024-09-04
2,2024-09-04,21W,770,2024-09-04
2,2024-09-04,19W,780,2024-09-04
2,2024-09-04,22W,750,2024-09-04
2,2024-09-03,23W,NA,2024-09-03
2,2024-09-03,18W,1000,2024-09-03
2,2024-09-03,17W,1000,2024-09-03
2,2024-09-03,20W,1000,2024-09-03
2,2024-09-03,21W,1000,2024-09-03
2,2024-09-03,19W,1000,2024-09-03
2,2024-09-03,22W,1000,2024-09-03
2,2024-09-02,23W,NA,2024-09-02
2,2024-09-02,18W,440,2024-09-02
2,2024-09-02,17W,340,2024-09-02
2,2024-09-02,20W,10,2024-09-02
2,2024-09-02,21W,10,2024-09-02
2,2024-09-02,19W,60,2024-09-02
2,2024-09-02,22W,30,2024-09-02
2,2024-09-01,23W,NA,2024-09-01
2,2024-09-01,18W,910,2024-09-01
2,2024-09-01,17W,210,2024-09-01
2,2024-09-01,20W,170,2024-09-01
2,2024-09-01,21W,80,2024-09-01
2,2024-09-01,19W,400,2024-09-01
2,2024-09-01,22W,360,2024-09-01
2,2024-08-31,23W,NA,2024-08-31
2,2024-08-31,18W,290,2024-08-31
2,2024-08-31,17W,350,2024-08-31
2,2024-08-31,20W,110,2024-08-31
2,2024-08-31,21W,400,2024-08-31
2,2024-08-31,19W,200,2024-08-31
2,2024-08-31,22W,330,2024-08-31
2,2024-08-30,23W,NA,2024-08-30
2,2024-08-30,18W,70,2024-08-30
2,2024-08-30,17W,20,2024-08-30
2,2024-08-30,20W,30,2024-08-30
2,2024-08-30,21W,110,2024-08-30
2,2024-08-30,19W,20,2024-08-30
2,2024-08-30,22W,30,2024-08-30
2,2024-08-29,23W,NA,2024-08-29
2,2024-08-29,18W,120,2024-08-29
2,2024-08-29,17W,60,2024-08-29
2,2024-08-29,20W,90,2024-08-29
2,2024-08-29,21W,290,2024-08-29
2,2024-08-29,19W,40,2024-08-29
2,2024-08-29,22W,40,2024-08-29
2,2024-08-28,23W,NA,2024-08-28
2,2024-08-28,18W,490,2024-08-28
2,2024-08-28,17W,600,2024-08-28
2,2024-08-28,20W,260,2024-08-28
2,2024-08-28,21W,320,2024-08-28
2,2024-08-28,19W,320,2024-08-28
2,2024-08-28,22W,280,2024-08-28
2,2024-08-27,23W,NA,2024-08-27
2,2024-08-27,18W,870,2024-08-27
2,2024-08-27,17W,80,2024-08-27
2,2024-08-27,20W,10,2024-08-27
2,2024-08-27,21W,150,2024-08-27
2,2024-08-27,19W,150,2024-08-27
2,2024-08-27,22W,440,2024-08-27
2,2024-08-26,23W,NA,2024-08-26
2,2024-08-26,18W,40,2024-08-26
2,2024-08-26,17W,30,2024-08-26
2,2024-08-26,20W,20,2024-08-26
2,2024-08-26,21W,30,2024-08-26
2,2024-08-26,19W,10,2024-08-26
2,2024-08-26,22W,10,2024-08-26
2,2024-08-25,23W,NA,2024-08-25
2,2024-08-25,18W,10,2024-08-25
2,2024-08-25,17W,40,2024-08-25
2,2024-08-25,20W,40,2024-08-25
2,2024-08-25,21W,20,2024-08-25
2,2024-08-25,19W,50,2024-08-25
2,2024-08-25,22W,80,2024-08-25
2,2024-08-24,23W,NA,2024-08-24
2,2024-08-24,18W,80,2024-08-24
2,2024-08-24,17W,60,2024-08-24
2,2024-08-24,20W,400,2024-08-24
2,2024-08-24,21W,210,2024-08-24
2,2024-08-24,19W,280,2024-08-24
2,2024-08-24,22W,180,2024-08-24
2,2024-08-23,23W,NA,2024-08-23
2,2024-08-23,18W,300,2024-08-23
2,2024-08-23,17W,490,2024-08-23
2,2024-08-23,20W,140,2024-08-23
2,2024-08-23,21W,50,2024-08-23
2,2024-08-23,19W,190,2024-08-23
2,2024-08-23,22W,70,2024-08-23
2,2024-08-22,23W,NA,2024-08-22
2,2024-08-22,18W,130,2024-08-22
2,2024-08-22,17W,140,2024-08-22
2,2024-08-22,20W,70,2024-08-22
2,2024-08-22,21W,110,2024-08-22
2,2024-08-22,19W,160,2024-08-22
2,2024-08-22,22W,60,2024-08-22
2,2024-08-21,23W,NA,2024-08-21
2,2024-08-21,18W,190,2024-08-21
2,2024-08-21,17W,200,2024-08-21
2,2024-08-21,20W,40,2024-08-21
2,2024-08-21,21W,60,2024-08-21
2,2024-08-21,19W,90,2024-08-21
2,2024-08-21,22W,50,2024-08-21
2,2024-08-20,23W,NA,2024-08-20
2,2024-08-20,18W,350,2024-08-20
2,2024-08-20,17W,30,2024-08-20
2,2024-08-20,20W,150,2024-08-20
2,2024-08-20,21W,70,2024-08-20
2,2024-08-20,19W,380,2024-08-20
2,2024-08-20,22W,50,2024-08-20
2,2024-08-19,23W,NA,2024-08-19
2,2024-08-19,18W,80,2024-08-19
2,2024-08-19,17W,80,2024-08-19
2,2024-08-19,20W,70,2024-08-19
2,2024-08-19,21W,180,2024-08-19
2,2024-08-19,19W,90,2024-08-19
2,2024-08-19,22W,110,2024-08-19
2,2024-08-18,23W,NA,2024-08-18
2,2024-08-18,18W,600,2024-08-18
2,2024-08-18,17W,320,2024-08-18
2,2024-08-18,20W,240,2024-08-18
2,2024-08-18,21W,190,2024-08-18
2,2024-08-18,19W,350,2024-08-18
2,2024-08-18,22W,280,2024-08-18
2,2024-08-17,23W,NA,2024-08-17
2,2024-08-17,18W,90,2024-08-17
2,2024-08-17,17W,100,2024-08-17
2,2024-08-17,20W,60,2024-08-17
2,2024-08-17,21W,20,2024-08-17
2,2024-08-17,19W,140,2024-08-17
2,2024-08-17,22W,20,2024-08-17
2,2024-08-16,23W,NA,2024-08-16
2,2024-08-16,18W,90,2024-08-16
2,2024-08-16,17W,160,2024-08-16
2,2024-08-16,20W,40,2024-08-16
2,2024-08-16,21W,30,2024-08-16
2,2024-08-16,19W,50,2024-08-16
2,2024-08-16,22W,20,2024-08-16
2,2024-08-15,23W,NA,2024-08-15
2,2024-08-15,18W,220,2024-08-15
2,2024-08-15,17W,130,2024-08-15
2,2024-08-15,20W,10,2024-08-15
2,2024-08-15,21W,10,2024-08-15
2,2024-08-15,19W,60,2024-08-15
2,2024-08-15,22W,20,2024-08-15
2,2024-08-14,23W,NA,2024-08-14
2,2024-08-14,18W,220,2024-08-14
2,2024-08-14,17W,160,2024-08-14
2,2024-08-14,20W,30,2024-08-14
2,2024-08-14,21W,30,2024-08-14
2,2024-08-14,19W,170,2024-08-14
2,2024-08-14,22W,20,2024-08-14
2,2024-08-13,23W,NA,2024-08-13
2,2024-08-13,18W,800,2024-08-13
2,2024-08-13,17W,160,2024-08-13
2,2024-08-13,20W,90,2024-08-13
2,2024-08-13,21W,50,2024-08-13
2,2024-08-13,19W,200,2024-08-13
2,2024-08-13,22W,20,2024-08-13
2,2024-08-12,23W,NA,2024-08-12
2,2024-08-12,18W,90,2024-08-12
2,2024-08-12,17W,390,2024-08-12
2,2024-08-12,20W,100,2024-08-12
2,2024-08-12,21W,100,2024-08-12
2,2024-08-12,19W,30,2024-08-12
2,2024-08-12,22W,30,2024-08-12
2,2024-08-11,23W,NA,2024-08-11
2,2024-08-11,18W,70,2024-08-11
2,2024-08-11,17W,60,2024-08-11
2,2024-08-11,20W,30,2024-08-11
2,2024-08-11,21W,60,2024-08-11
2,2024-08-11,19W,10,2024-08-11
2,2024-08-11,22W,170,2024-08-11
2,2024-08-10,23W,NA,2024-08-10
2,2024-08-10,18W,190,2024-08-10
2,2024-08-10,17W,80,2024-08-10
2,2024-08-10,20W,140,2024-08-10
2,2024-08-10,21W,240,2024-08-10
2,2024-08-10,19W,250,2024-08-10
2,2024-08-10,22W,340,2024-08-10
2,2024-08-09,23W,NA,2024-08-09
2,2024-08-09,18W,710,2024-08-09
2,2024-08-09,17W,160,2024-08-09
2,2024-08-09,20W,210,2024-08-09
2,2024-08-09,21W,90,2024-08-09
2,2024-08-09,19W,260,2024-08-09
2,2024-08-09,22W,200,2024-08-09
2,2024-08-08,23W,NA,2024-08-08
2,2024-08-08,18W,20,2024-08-08
2,2024-08-08,17W,210,2024-08-08
2,2024-08-08,20W,60,2024-08-08
2,2024-08-08,21W,50,2024-08-08
2,2024-08-08,19W,170,2024-08-08
2,2024-08-08,22W,80,2024-08-08
2,2024-08-07,23W,NA,2024-08-07
2,2024-08-07,18W,100,2024-08-07
2,2024-08-07,17W,70,2024-08-07
2,2024-08-07,20W,220,2024-08-07
2,2024-08-07,21W,160,2024-08-07
2,2024-08-07,19W,430,2024-08-07
2,2024-08-07,22W,270,2024-08-07
2,2024-08-06,23W,NA,2024-08-06
2,2024-08-06,18W,1000,2024-08-06
2,2024-08-06,17W,1000,2024-08-06
2,2024-08-06,20W,1000,2024-08-06
2,2024-08-06,21W,980,2024-08-06
2,2024-08-06,19W,1000,2024-08-06
2,2024-08-06,22W,1000,2024-08-06
2,2024-08-05,23W,NA,2024-08-05
2,2024-08-05,18W,40,2024-08-05
2,2024-08-05,17W,10,2024-08-05
2,2024-08-05,20W,360,2024-08-05
2,2024-08-05,21W,240,2024-08-05
2,2024-08-05,19W,100,2024-08-05
2,2024-08-05,22W,10,2024-08-05
2,2024-08-04,23W,NA,2024-08-04
2,2024-08-04,18W,300,2024-08-04
2,2024-08-04,17W,270,2024-08-04
2,2024-08-04,20W,60,2024-08-04
2,2024-08-04,21W,50,2024-08-04
2,2024-08-04,19W,380,2024-08-04
